,Start station,start_lat,start_lng
0,4th & East Capitol St NE,38.887837,-77.01767600000001
1,14th & Belmont St NW,38.9175547,-77.0324732
2,14th & Rhode Island Ave NW,38.9175547,-77.0324732
3,14th & R St NW,38.9175547,-77.0324732
4,Union Market,38.9085883,-76.99762199999999
5,7th & F St NW / National Portrait Gallery,38.9149324,-77.02160359999999
6,Massachusetts Ave & Dupont Circle NW,38.9187514,-77.059675
7,2nd St & Seaton Pl NE,38.870102,-77.091272
8,M St & Pennsylvania Ave NW,38.9056494,-77.03922829999999
9,Columbus Circle / Union Station,38.896995,-77.006384
10,New Hampshire Ave & 24th St NW,39.0969937,-77.0026295
11,North Capitol St & F St NW,38.9271431,-77.0089591
12,15th & M St NW,48.8421616,2.2927665
13,Convention Center / 7th & M St NW,38.9053157,-77.0222677
14,USDA / 12th & C St SW,38.8867712,-77.029926
15,Branch & Pennsylvania Ave SE,39.015281,-77.56802909999999
16,24th & N St NW,38.9001515,-77.1257885
17,Maine Ave & 7th St SW,38.882072,-77.0287433
18,North Capitol St & G Pl NE,38.9271431,-77.0089591
19,Rhode Island & Connecticut Ave NW,41.5800945,-71.4774291
20,7th & R St NW / Shaw Library,38.9149324,-77.02160359999999
21,21st & M St NW,39.1376224,-77.7156198
22,20th St & Florida Ave NW,39.12744319999999,-77.7124856
23,8th & H St NW,38.866991,-77.08081299999999
24,John McCormack Dr & Michigan Ave NE,38.9403392,-76.9978012
25,14th & L St NW,38.9175547,-77.0324732
26,Walter Reed Dr & 8th St S,38.8522092,-77.0911746
27,Columbia Pike & S Taylor St,38.8506943,-77.128598
28,Vermont Ave & I St NW,38.916035,-77.14907409999999
29,11th & C St SE,38.80822790000001,-77.2635038
30,15th & K St NW,48.8421616,2.2927665
31,12th & L St NW,48.835128,2.4350817
32,15th & F St NE,48.8421616,2.2927665
33,Ballenger Ave & Dulaney St,39.1381554,-77.6863388
34,Columbia & Ontario Rd NW,39.1080574,-77.5374451
35,17th & Corcoran St NW,38.9040782,-77.0379947
36,10th & U St NW,38.9049938,-77.0257597
37,11th & Park Rd NW,38.80822790000001,-77.2635038
38,5th & Kennedy St NW,39.2275114,-77.2837031
39,Lincoln Park / 13th & East Capitol St NE ,38.8951405,-76.988019
40,D St & Maryland Ave NE,38.884765,-77.02116099999999
41,11th & Kenyon St NW,38.80822790000001,-77.2635038
42,Crystal Dr & 15th St S,39.1899881,-77.26694359999999
43,Georgia & New Hampshire Ave NW,32.1656221,-82.9000751
44,Woodley Park Metro / Calvert St & Connecticut Ave NW,38.9245045,-77.0523798
45,7th St & Massachusetts Ave NE,38.9028928,-77.0219051
46,4th & M St SW,38.887837,-77.01767600000001
47,Harvard St & Adams Mill Rd NW,38.92649979999999,-77.03267009999999
48,14th & V St NW,38.9175547,-77.0324732
49,New Hampshire & Gallatin St NW,43.1938516,-71.5723953
50,1st & K St SE,38.96419530000001,-77.5024194
51,11th & Girard St NW,38.80822790000001,-77.2635038
52,New Jersey Ave & F St NW,38.9032226,-77.0139923
53,Taft St & E Gude Dr,38.8988928,-77.08309349999999
54,16th & Harvard St NW,39.136625,-77.70955099999999
55,Virginia Square Metro / Monroe St & 9th St N,38.8824447,-77.1026464
56,9th & Upshur St NW,38.8996316,-77.0238122
57,N Quincy St & Glebe Rd,38.9712015,-77.382538
58,C & O Canal & Wisconsin Ave NW,39.0200855,-77.4207984
59,14th St & Spring Rd NW,38.938678,-77.0327217
60,15th St & Massachusetts Ave SE,38.89033,-77.03332999999999
61,6th & H St NE,48.8483372,2.328177
62,13th & D St NE,38.7717402,-77.58814339999999
63,13th St & New York Ave NW,38.858437,-77.0928964
64,15th & P St NW,48.8421616,2.2927665
65,11th & M St NW,38.80822790000001,-77.2635038
66,Tenleytown / Wisconsin Ave & Albemarle St NW,38.9474653,-77.07943039999999
